student_id,course_id,paid_amount,is_purchased
2,11,0,0
2,11,0,0
1,11,0,0
1,12,0,0
1,13,0,0
2,14,0,0
2352,11,0,0
2354,11,0,0
1,15,0,0
884,15,0,0
885,15,0,0
886,15,0,0
892,15,0,0
907,15,0,0
944,15,0,0
1082,15,0,0
1582,15,0,0
2184,15,0,0
2185,15,0,0
492,15,28000,1
493,15,28000,1
495,15,28000,1
496,15,28000,1
497,15,28000,1
499,15,28000,1
500,15,28000,1
502,15,28000,1
503,15,28000,1
504,15,28000,1
505,15,28000,1
508,15,28000,1
509,15,28000,1
511,15,28000,1
512,15,28000,1
513,15,28000,1
514,15,28000,1
515,15,28000,1
516,15,28000,1
518,15,28000,1
519,15,28000,1
520,15,28000,1
521,15,28000,1
522,15,28000,1
523,15,28000,1
524,15,28000,1
526,15,28000,1
527,15,28000,1
529,15,28000,1
530,15,28000,1
531,15,28000,1
532,15,28000,1
533,15,28000,1
537,15,28000,1
538,15,28000,1
539,15,28000,1
544,15,28000,1
546,15,28000,1
547,15,28000,1
548,15,28000,1
549,15,28000,1
550,15,28000,1
551,15,28000,1
553,15,28000,1
556,15,28000,1
557,15,28000,1
558,15,28000,1
559,15,28000,1
560,15,28000,1
561,15,28000,1
563,15,28000,1
564,15,28000,1
568,15,28000,1
569,15,28000,1
570,15,28000,1
571,15,28000,1
573,15,28000,1
575,15,28000,1
576,15,28000,1
577,15,28000,1
578,15,28000,1
579,15,28000,1
580,15,28000,1
581,15,28000,1
583,15,28000,1
584,15,28000,1
586,15,28000,1
588,15,28000,1
589,15,28000,1
591,15,28000,1
593,15,28000,1
594,15,28000,1
595,15,28000,1
597,15,28000,1
598,15,28000,1
602,15,28000,1
604,15,28000,1
607,15,28000,1
608,15,28000,1
609,15,28000,1
611,15,28000,1
612,15,28000,1
613,15,28000,1
616,15,28000,1
617,15,28000,1
618,15,28000,1
620,15,28000,1
621,15,28000,1
623,15,28000,1
625,15,28000,1
627,15,28000,1
628,15,28000,1
629,15,28000,1
631,15,28000,1
632,15,28000,1
635,15,28000,1
636,15,28000,1
637,15,28000,1
641,15,28000,1
642,15,28000,1
643,15,28000,1
644,15,28000,1
645,15,28000,1
646,15,28000,1
647,15,28000,1
648,15,28000,1
649,15,28000,1
650,15,28000,1
651,15,28000,1
654,15,28000,1
655,15,28000,1
656,15,28000,1
657,15,28000,1
658,15,28000,1
659,15,28000,1
662,15,28000,1
665,15,28000,1
666,15,28000,1
667,15,28000,1
668,15,28000,1
669,15,28000,1
670,15,28000,1
671,15,28000,1
673,15,28000,1
674,15,28000,1
675,15,28000,1
677,15,28000,1
678,15,28000,1
679,15,28000,1
680,15,28000,1
681,15,28000,1
682,15,28000,1
683,15,28000,1
684,15,28000,1
685,15,28000,1
686,15,28000,1
688,15,28000,1
689,15,28000,1
690,15,28000,1
691,15,28000,1
692,15,28000,1
694,15,28000,1
695,15,28000,1
700,15,28000,1
701,15,28000,1
702,15,28000,1
703,15,28000,1
704,15,28000,1
705,15,28000,1
707,15,28000,1
709,15,28000,1
713,15,28000,1
715,15,28000,1
716,15,28000,1
717,15,28000,1
718,15,28000,1
719,15,28000,1
721,15,28000,1
722,15,28000,1
724,15,28000,1
725,15,28000,1
730,15,28000,1
731,15,28000,1
732,15,28000,1
733,15,28000,1
734,15,28000,1
735,15,28000,1
736,15,28000,1
737,15,28000,1
738,15,28000,1
739,15,28000,1
741,15,28000,1
742,15,28000,1
743,15,28000,1
744,15,28000,1
745,15,28000,1
746,15,28000,1
747,15,28000,1
748,15,28000,1
749,15,28000,1
750,15,28000,1
751,15,28000,1
752,15,28000,1
753,15,28000,1
754,15,28000,1
755,15,28000,1
756,15,28000,1
757,15,28000,1
758,15,28000,1
760,15,28000,1
761,15,28000,1
762,15,28000,1
763,15,28000,1
764,15,28000,1
766,15,28000,1
767,15,28000,1
769,15,28000,1
770,15,28000,1
772,15,28000,1
775,15,28000,1
776,15,28000,1
778,15,28000,1
779,15,28000,1
782,15,28000,1
785,15,28000,1
786,15,28000,1
788,15,28000,1
789,15,28000,1
790,15,28000,1
791,15,28000,1
793,15,28000,1
794,15,28000,1
795,15,28000,1
798,15,28000,1
799,15,28000,1
800,15,28000,1
801,15,28000,1
802,15,28000,1
803,15,28000,1
804,15,28000,1
805,15,28000,1
808,15,28000,1
810,15,28000,1
811,15,28000,1
813,15,28000,1
816,15,28000,1
817,15,28000,1
818,15,28000,1
821,15,28000,1
825,15,28000,1
826,15,28000,1
827,15,28000,1
828,15,28000,1
829,15,28000,1
830,15,28000,1
834,15,28000,1
837,15,28000,1
838,15,28000,1
839,15,28000,1
840,15,28000,1
842,15,28000,1
847,15,28000,1
848,15,28000,1
850,15,28000,1
853,15,28000,1
854,15,28000,1
855,15,28000,1
857,15,28000,1
858,15,28000,1
859,15,28000,1
863,15,28000,1
867,15,28000,1
869,15,28000,1
871,15,28000,1
877,15,28000,1
878,15,28000,1
883,15,28000,1
893,15,28000,1
894,15,28000,1
895,15,28000,1
896,15,28000,1
902,15,28000,1
903,15,28000,1
906,15,28000,1
908,15,28000,1
912,15,28000,1
913,15,28000,1
915,15,28000,1
916,15,28000,1
919,15,28000,1
920,15,28000,1
922,15,28000,1
923,15,28000,1
924,15,28000,1
925,15,28000,1
929,15,28000,1
930,15,28000,1
932,15,28000,1
934,15,28000,1
935,15,28000,1
937,15,28000,1
947,15,28000,1
948,15,28000,1
952,15,28000,1
954,15,28000,1
960,15,28000,1
962,15,28000,1
963,15,28000,1
969,15,28000,1
970,15,28000,1
972,15,28000,1
973,15,28000,1
975,15,28000,1
978,15,28000,1
983,15,28000,1
985,15,28000,1
986,15,28000,1
987,15,28000,1
989,15,28000,1
990,15,28000,1
992,15,28000,1
995,15,28000,1
996,15,28000,1
997,15,28000,1
1000,15,28000,1
1002,15,28000,1
1006,15,28000,1
1008,15,28000,1
1009,15,28000,1
1012,15,28000,1
1018,15,28000,1
1019,15,28000,1
1020,15,28000,1
1022,15,28000,1
1029,15,28000,1
1031,15,28000,1
1035,15,28000,1
1036,15,28000,1
1037,15,28000,1
1038,15,28000,1
1046,15,28000,1
1047,15,28000,1
1049,15,28000,1
1059,15,28000,1
1060,15,28000,1
1062,15,28000,1
1069,15,28000,1
1072,15,28000,1
1075,15,28000,1
1080,15,28000,1
1085,15,28000,1
1091,15,28000,1
1095,15,28000,1
1099,15,28000,1
1102,15,28000,1
1109,15,28000,1
1116,15,28000,1
1124,15,28000,1
1127,15,28000,1
1128,15,28000,1
1135,15,28000,1
1138,15,28000,1
1141,15,28000,1
1146,15,28000,1
1150,15,28000,1
1153,15,28000,1
1155,15,28000,1
1156,15,28000,1
1162,15,28000,1
1176,15,28000,1
1177,15,28000,1
1178,15,28000,1
1192,15,28000,1
1196,15,28000,1
1208,15,28000,1
1230,15,28000,1
1231,15,28000,1
1238,15,28000,1
1239,15,28000,1
1240,15,28000,1
1241,15,28000,1
1242,15,28000,1
1244,15,28000,1
1245,15,28000,1
1247,15,28000,1
1248,15,28000,1
1249,15,28000,1
1251,15,28000,1
1252,15,28000,1
1255,15,28000,1
1256,15,28000,1
1257,15,28000,1
1258,15,28000,1
1263,15,28000,1
1264,15,28000,1
1265,15,28000,1
1272,15,28000,1
1274,15,28000,1
1275,15,28000,1
1276,15,28000,1
1277,15,28000,1
1280,15,28000,1
1281,15,28000,1
1284,15,28000,1
1287,15,28000,1
1291,15,28000,1
1292,15,28000,1
1296,15,28000,1
1298,15,28000,1
1299,15,28000,1
1300,15,28000,1
1301,15,28000,1
1304,15,28000,1
1305,15,28000,1
1306,15,28000,1
1307,15,28000,1
1308,15,28000,1
1311,15,28000,1
1312,15,28000,1
1313,15,28000,1
1314,15,28000,1
1318,15,28000,1
1323,15,28000,1
1324,15,28000,1
1326,15,28000,1
1327,15,28000,1
1329,15,28000,1
1332,15,28000,1
1336,15,28000,1
1337,15,28000,1
1339,15,28000,1
1346,15,28000,1
1349,15,28000,1
1351,15,28000,1
1354,15,28000,1
1355,15,28000,1
1356,15,28000,1
1357,15,28000,1
1359,15,28000,1
1362,15,28000,1
1363,15,28000,1
1364,15,28000,1
1365,15,28000,1
1367,15,28000,1
1368,15,28000,1
1369,15,28000,1
1370,15,28000,1
1372,15,28000,1
1373,15,28000,1
1375,15,28000,1
1377,15,28000,1
1391,15,28000,1
1406,15,28000,1
1421,15,28000,1
1422,15,28000,1
1423,15,28000,1
1428,15,28000,1
1429,15,28000,1
1437,15,28000,1
1439,15,28000,1
1440,15,28000,1
1442,15,28000,1
1443,15,28000,1
1446,15,28000,1
1447,15,28000,1
1451,15,28000,1
1459,15,28000,1
1461,15,28000,1
1472,15,28000,1
1486,15,28000,1
1487,15,28000,1
1502,15,28000,1
1529,15,28000,1
1542,15,28000,1
1544,15,28000,1
1545,15,28000,1
1546,15,28000,1
1549,15,28000,1
1550,15,28000,1
1553,15,28000,1
1554,15,28000,1
1555,15,28000,1
1556,15,28000,1
1557,15,28000,1
1558,15,28000,1
1562,15,28000,1
1563,15,28000,1
1564,15,28000,1
1566,15,28000,1
1567,15,28000,1
1568,15,28000,1
1569,15,28000,1
1570,15,28000,1
1572,15,28000,1
1573,15,28000,1
1575,15,28000,1
1577,15,28000,1
1578,15,28000,1
1579,15,28000,1
1580,15,28000,1
1581,15,28000,1
1583,15,28000,1
1585,15,28000,1
1586,15,28000,1
1587,15,28000,1
1588,15,28000,1
1589,15,28000,1
1590,15,28000,1
1591,15,28000,1
1593,15,28000,1
1594,15,28000,1
1595,15,28000,1
1596,15,28000,1
1597,15,28000,1
1598,15,28000,1
1601,15,28000,1
1602,15,28000,1
1603,15,28000,1
1605,15,28000,1
1608,15,28000,1
1609,15,28000,1
1611,15,28000,1
1613,15,28000,1
1614,15,28000,1
1615,15,28000,1
1616,15,28000,1
1617,15,28000,1
1619,15,28000,1
1620,15,28000,1
1621,15,28000,1
1622,15,28000,1
1623,15,28000,1
1624,15,28000,1
1626,15,28000,1
1627,15,28000,1
1629,15,28000,1
1630,15,28000,1
1631,15,28000,1
1632,15,28000,1
1633,15,28000,1
1634,15,28000,1
1635,15,28000,1
1636,15,28000,1
1637,15,28000,1
1638,15,28000,1
1639,15,28000,1
1640,15,28000,1
1641,15,28000,1
1642,15,28000,1
1643,15,28000,1
1646,15,28000,1
1647,15,28000,1
1648,15,28000,1
1656,15,28000,1
1659,15,28000,1
1699,15,28000,1
1724,15,28000,1
1794,15,28000,1
1822,15,28000,1
1823,15,28000,1
1831,15,28000,1
1833,15,28000,1
1835,15,28000,1
1837,15,28000,1
1841,15,28000,1
1842,15,28000,1
1843,15,28000,1
1855,15,28000,1
1857,15,28000,1
1864,15,28000,1
1866,15,28000,1
1873,15,28000,1
1877,15,28000,1
1712,15,28000,1
1887,15,28000,1
1888,15,28000,1
1704,15,28000,1
1891,15,28000,1
1893,15,28000,1
1900,15,28000,1
1904,15,28000,1
1907,15,28000,1
1936,15,28000,1
1932,15,28000,1
1942,15,28000,1
1944,15,28000,1
1945,15,28000,1
1947,15,28000,1
1814,15,28000,1
1983,15,28000,1
1984,15,28000,1
1985,15,28000,1
1986,15,28000,1
1988,15,28000,1
1991,15,28000,1
1992,15,28000,1
1993,15,28000,1
1994,15,28000,1
1959,15,28000,1
1996,15,28000,1
1997,15,28000,1
1998,15,28000,1
1999,15,28000,1
2000,15,28000,1
2001,15,28000,1
2002,15,28000,1
2003,15,28000,1
2007,15,28000,1
2008,15,28000,1
2010,15,28000,1
2012,15,28000,1
2013,15,28000,1
2014,15,28000,1
2016,15,28000,1
2017,15,28000,1
2018,15,28000,1
2019,15,28000,1
2022,15,28000,1
2023,15,28000,1
2024,15,28000,1
2025,15,28000,1
2026,15,28000,1
2030,15,28000,1
2033,15,28000,1
1869,15,28000,1
2039,15,28000,1
2040,15,28000,1
2041,15,28000,1
2042,15,28000,1
2043,15,28000,1
2044,15,28000,1
2047,15,28000,1
2049,15,28000,1
2052,15,28000,1
2053,15,28000,1
2054,15,28000,1
2055,15,28000,1
2063,15,28000,1
2067,15,28000,1
2068,15,28000,1
2082,15,28000,1
2083,15,28000,1
2084,15,28000,1
2085,15,28000,1
2086,15,28000,1
2087,15,28000,1
2096,15,28000,1
2097,15,28000,1
2102,15,28000,1
2112,15,28000,1
1691,15,28000,1
2094,15,28000,1
2116,15,28000,1
2117,15,28000,1
2118,15,28000,1
2119,15,28000,1
2121,15,28000,1
2122,15,28000,1
2123,15,28000,1
2124,15,28000,1
2125,15,28000,1
2126,15,28000,1
2128,15,28000,1
2129,15,28000,1
2131,15,28000,1
2132,15,28000,1
2133,15,28000,1
2135,15,28000,1
2137,15,28000,1
2139,15,28000,1
2140,15,28000,1
2142,15,28000,1
1956,15,28000,1
2144,15,28000,1
2145,15,28000,1
2146,15,28000,1
2147,15,28000,1
1809,15,28000,1
2150,15,28000,1
2154,15,28000,1
2157,15,28000,1
2161,15,28000,1
2162,15,28000,1
2166,15,28000,1
2168,15,28000,1
2169,15,28000,1
2170,15,28000,1
2183,15,28000,1
2186,15,28000,1
2187,15,28000,1
2188,15,28000,1
2195,15,28000,1
2200,15,28000,1
2201,15,28000,1
2202,15,28000,1
2207,15,28000,1
2212,15,28000,1
2213,15,28000,1
2223,15,28000,1
2226,15,28000,1
2233,15,28000,1
2238,15,28000,1
2242,15,28000,1
2246,15,28000,1
2259,15,28000,1
2263,15,28000,1
2265,15,28000,1
2267,15,28000,1
2275,15,28000,1
2284,15,28000,1
2289,15,28000,1
2292,15,28000,1
